nohup: ignoring input
[11:50:33] Fetched 100 candles.
[11:51:33] Fetched 100 candles.
[11:52:34] Fetched 100 candles.
[11:53:34] Fetched 100 candles.
[11:54:34] Fetched 100 candles.
[11:55:35] Fetched 100 candles.
[11:56:35] Fetched 100 candles.
[11:57:35] Fetched 100 candles.
[11:58:36] Fetched 100 candles.
[11:59:36] Fetched 100 candles.
[12:00:37] Fetched 100 candles.
[12:01:38] Fetched 100 candles.
[12:02:38] Fetched 100 candles.
[12:03:38] Fetched 100 candles.
[12:11:39] Fetched 100 candles.
[12:12:39] Fetched 100 candles.
[12:13:40] Fetched 100 candles.
[12:14:40] Fetched 100 candles.
[12:15:41] Fetched 100 candles.
[12:16:41] Fetched 100 candles.
[12:17:41] Fetched 100 candles.
[12:18:42] Fetched 100 candles.
[12:19:42] Fetched 100 candles.
[12:20:42] Fetched 100 candles.
[12:21:43] Fetched 100 candles.
[12:22:43] Fetched 100 candles.
[12:23:44] Fetched 100 candles.
[12:24:44] Fetched 100 candles.
[12:25:44] Fetched 100 candles.
[12:26:45] Fetched 100 candles.
[12:27:45] Fetched 100 candles.
[12:28:45] Fetched 100 candles.
[12:29:46] Fetched 100 candles.
[12:30:46] Fetched 100 candles.
[12:31:47] Fetched 100 candles.
[12:32:47] Fetched 100 candles.
[12:33:48] Fetched 100 candles.
[12:34:48] Fetched 100 candles.
[12:35:49] Fetched 100 candles.
[12:54:50] Fetched 100 candles.
[12:55:50] Fetched 100 candles.
[12:56:51] Fetched 100 candles.
[12:57:51] Fetched 100 candles.
[12:58:52] Fetched 100 candles.
[12:59:52] Fetched 100 candles.
[13:00:53] Fetched 100 candles.
[13:01:53] Fetched 100 candles.
[13:02:53] Fetched 100 candles.
[13:03:54] Fetched 100 candles.
[13:04:54] Fetched 100 candles.
[13:05:54] Fetched 100 candles.
[13:06:55] Fetched 100 candles.
[13:07:55] Fetched 100 candles.
[13:08:55] Fetched 100 candles.
[13:14:56] Fetched 100 candles.
[13:15:56] Fetched 100 candles.
